epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7372,1.46085,3.33458,1.67841,0.03888,0.65707,0.31505,0.22697,0.84786,3.36586,1.25752,0.000175,0.000175,0.000175
2,115.575,1.4499,2.08888,1.63395,1,0.18329,0.51997,0.34645,1.2817,2.84097,1.60069,0.000355322,0.000355322,0.000355322
3,173.832,1.40749,1.5733,1.54451,0.42751,0.31242,0.31473,0.18524,1.44698,3.04019,1.88064,0.00052822,0.00052822,0.00052822
4,234.114,1.40765,1.54724,1.54921,0.44184,0.52989,0.45102,0.26555,1.51069,2.33701,1.74075,0.000693692,0.000693692,0.000693692
5,297.252,1.36501,1.43986,1.51221,0.47913,0.51909,0.47584,0.29692,1.48706,3.05572,1.83757,0.00085174,0.00085174,0.00085174
6,362.478,1.37016,1.41471,1.51467,0.5383,0.53587,0.55174,0.33339,1.44097,2.31735,1.68197,0.00100236,0.00100236,0.00100236
7,424.062,1.30266,1.32118,1.46637,0.46756,0.61359,0.57843,0.30453,1.53189,2.18473,1.74489,0.0011015,0.0011015,0.0011015
8,484.235,1.25258,1.37915,1.45358,0.47769,0.50489,0.44253,0.25492,1.46736,2.13635,1.73071,0.00107675,0.00107675,0.00107675
9,541.066,1.20874,1.23188,1.41682,0.70495,0.48285,0.56782,0.31701,1.51524,1.75026,1.8442,0.001052,0.001052,0.001052
10,596.985,1.19708,1.24568,1.40833,0.61854,0.58587,0.62299,0.33895,1.38614,1.78562,1.63836,0.00102725,0.00102725,0.00102725
11,653.028,1.19172,1.23362,1.39881,0.51633,0.4837,0.57082,0.36341,1.38485,1.65705,1.5507,0.0010025,0.0010025,0.0010025
12,711.239,1.18006,1.21821,1.39308,0.87647,0.65856,0.73412,0.42845,1.31732,1.39536,1.55597,0.00097775,0.00097775,0.00097775
13,771.296,1.13165,1.12793,1.34631,0.69097,0.58641,0.66702,0.40706,1.37722,1.57425,1.60237,0.000953,0.000953,0.000953
14,830.086,1.0835,1.12667,1.33706,0.86505,0.5457,0.65379,0.4194,1.34936,1.4633,1.59867,0.00092825,0.00092825,0.00092825
15,894.577,1.0743,1.07597,1.29658,0.85527,0.55217,0.6951,0.42978,1.27892,1.43507,1.53023,0.0009035,0.0009035,0.0009035
16,959.56,1.05725,1.07476,1.29028,0.60032,0.66816,0.67326,0.45313,1.26188,1.36961,1.51225,0.00087875,0.00087875,0.00087875
17,1019.45,1.05583,1.06502,1.30256,0.73015,0.64891,0.70521,0.48363,1.19591,1.24993,1.48682,0.000854,0.000854,0.000854
18,1077.79,1.02607,1.02389,1.26819,0.7434,0.5462,0.68006,0.41789,1.23965,1.21393,1.53147,0.00082925,0.00082925,0.00082925
19,1135.75,1.01699,0.99707,1.25599,0.80827,0.60489,0.70772,0.42677,1.29648,1.41301,1.56275,0.0008045,0.0008045,0.0008045
20,1193.13,1.00884,0.95326,1.24868,0.72241,0.62989,0.70227,0.44614,1.2745,1.29366,1.51613,0.00077975,0.00077975,0.00077975
21,1250.03,0.99178,0.97581,1.24157,0.77054,0.66413,0.72701,0.47401,1.25458,1.37083,1.48382,0.000755,0.000755,0.000755
22,1307.43,0.97867,0.92275,1.22107,0.8393,0.55791,0.70841,0.44893,1.32674,1.65073,1.57071,0.00073025,0.00073025,0.00073025
23,1364.86,0.94569,0.92963,1.22878,0.72951,0.45775,0.57346,0.35511,1.30017,1.97017,1.61,0.0007055,0.0007055,0.0007055
24,1422.09,0.92003,0.86742,1.18492,0.85456,0.51793,0.64502,0.41707,1.25008,1.39055,1.54749,0.00068075,0.00068075,0.00068075
25,1479.99,0.92632,0.87948,1.20252,0.72115,0.62391,0.68658,0.46909,1.19516,1.28019,1.48727,0.000656,0.000656,0.000656
26,1539.54,0.91717,0.93334,1.20206,0.79957,0.61467,0.68255,0.45283,1.22118,1.30886,1.50902,0.00063125,0.00063125,0.00063125
27,1599.23,0.90243,0.85484,1.18709,0.73383,0.60082,0.66254,0.4473,1.18002,1.30447,1.48987,0.0006065,0.0006065,0.0006065
28,1657.96,0.88554,0.84088,1.18234,0.59034,0.55733,0.58353,0.39468,1.24786,1.70938,1.56443,0.00058175,0.00058175,0.00058175
29,1716,0.87823,0.85761,1.1888,0.60418,0.40681,0.50754,0.33231,1.28918,1.91101,1.64627,0.000557,0.000557,0.000557
30,1774.07,0.88367,0.85003,1.1801,0.5032,0.49293,0.51208,0.34397,1.30171,1.79333,1.62834,0.00053225,0.00053225,0.00053225
31,1832.45,0.8581,0.82004,1.16408,0.5868,0.50464,0.54671,0.35975,1.31817,1.54127,1.61562,0.0005075,0.0005075,0.0005075
32,1891.4,0.82872,0.79501,1.14501,0.54002,0.56793,0.57083,0.3938,1.28113,1.47128,1.58821,0.00048275,0.00048275,0.00048275
33,1950.04,0.82422,0.80148,1.15374,0.77103,0.60217,0.66732,0.44149,1.14774,1.24029,1.47829,0.000458,0.000458,0.000458
34,2008.67,0.82438,0.79699,1.14613,0.71791,0.67002,0.72037,0.4509,1.14833,1.15325,1.46324,0.00043325,0.00043325,0.00043325
35,2068.63,0.79985,0.77111,1.12531,0.75026,0.63762,0.67547,0.45618,1.17664,1.27131,1.48718,0.0004085,0.0004085,0.0004085
36,2128.25,0.81213,0.76524,1.14176,0.70571,0.55543,0.62592,0.40454,1.2229,1.4414,1.50084,0.00038375,0.00038375,0.00038375
37,2187.14,0.76867,0.70129,1.09374,0.66765,0.54891,0.60837,0.40783,1.15817,1.49812,1.47693,0.000359,0.000359,0.000359
