                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4503,                 3.0452,                 1.6756,                 0.0443,                 0.6538,                0.38585,                0.22141,                 1.0547,                 3.1593,                 1.3915,              0.0003625,              0.0003625,              0.0003625
                      1,                 1.4979,                 1.9133,                 1.6775,                0.68816,                0.23638,                0.49079,                0.31057,                  1.403,                  2.463,                  1.625,              0.0007229,              0.0007229,              0.0007229
                      2,                 1.4271,                 1.6476,                 1.5832,                 0.3907,                0.62283,                0.41607,                 0.2272,                 1.6136,                 2.4299,                 1.8037,              0.0010684,              0.0010684,              0.0010684
                      3,                 1.4249,                 1.5621,                 1.5729,                0.56158,                0.55033,                0.53111,                0.34754,                 1.4275,                 1.9274,                 1.6486,              0.0011757,              0.0011757,              0.0011757
                      4,                 1.4461,                 1.5568,                 1.5902,                0.67383,                0.41467,                0.50455,                0.30918,                 1.5392,                 1.9624,                 1.7987,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.4106,                 1.5506,                 1.5823,                0.72866,                0.34293,                0.44259,                0.28028,                 1.6036,                 2.0681,                 1.8837,               0.001151,               0.001151,               0.001151
                      6,                 1.3255,                 1.4156,                 1.4875,                0.63469,                0.40217,                0.51537,                0.31998,                 1.4431,                 1.8419,                 1.7049,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.3302,                 1.3956,                 1.5242,                0.59271,                0.46288,                0.54948,                0.34271,                 1.3979,                 1.5692,                 1.6871,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.3453,                 1.4615,                 1.5473,                0.39843,                0.52989,                0.48267,                0.29386,                 1.4913,                 1.7194,                  1.788,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.2856,                 1.3483,                 1.4982,                0.85657,                0.47074,                  0.597,                0.37138,                 1.4033,                 1.6428,                 1.7854,               0.001052,               0.001052,               0.001052
                     10,                 1.2687,                 1.3213,                 1.4982,                0.81695,                0.49194,                0.61115,                0.36115,                   1.41,                  1.759,                 1.6989,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.2676,                 1.2782,                 1.4738,                0.82795,                0.35324,                0.49983,                0.26108,                 1.7685,                 1.8009,                 2.0166,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.2188,                 1.2818,                 1.4353,                0.87015,                   0.52,                0.65446,                0.38871,                 1.3592,                 1.5037,                 1.6242,             0.00097775,             0.00097775,             0.00097775
                     13,                  1.185,                 1.2431,                 1.4065,                0.73272,                0.61467,                0.67847,                0.44175,                 1.3305,                 1.2793,                   1.59,               0.000953,               0.000953,               0.000953
                     14,                 1.1754,                 1.2326,                 1.4262,                0.82623,                0.57676,                0.65851,                0.42686,                 1.3317,                 1.3842,                 1.6171,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.1368,                 1.1788,                 1.3878,                0.75967,                0.60956,                0.60673,                0.37334,                 1.4911,                 1.3351,                 1.7584,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.1486,                 1.1436,                 1.3916,                0.71223,                0.58064,                  0.638,                0.42125,                  1.368,                 1.3604,                 1.6292,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.1384,                 1.1598,                 1.3857,                0.69349,                0.52224,                0.58603,                 0.3662,                 1.4327,                 1.5809,                 1.7158,               0.000854,               0.000854,               0.000854
                     18,                 1.0985,                  1.063,                 1.3429,                0.73647,                0.49293,                0.61079,                0.37447,                 1.3305,                 1.5335,                 1.6508,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.1227,                 1.0881,                 1.3459,                0.83157,                0.47856,                0.62508,                0.42508,                 1.2316,                 1.4121,                 1.5513,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.0915,                 1.0553,                  1.334,                0.83227,                0.56469,                0.66602,                0.46056,                 1.1322,                 1.1814,                 1.4745,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.0531,                 1.0307,                 1.3045,                0.60936,                0.59565,                0.61533,                0.40759,                 1.2339,                 1.3244,                 1.5355,               0.000755,               0.000755,               0.000755
                     22,                 1.0726,                 1.0372,                  1.328,                0.62146,                0.50543,                0.58176,                0.37322,                 1.3432,                 1.5701,                 1.6506,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.0416,                 1.0362,                 1.2998,                0.79654,                0.54293,                0.62806,                0.42187,                 1.2488,                 1.2627,                 1.5301,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.0249,                 1.0191,                 1.2891,                0.74218,                0.57735,                0.69474,                0.45054,                 1.2446,                 1.2553,                 1.5352,             0.00068075,             0.00068075,             0.00068075
                     25,                0.99367,                0.97779,                 1.2817,                0.61341,                0.55543,                0.61848,                 0.3925,                 1.3371,                 1.3035,                 1.6881,               0.000656,               0.000656,               0.000656
                     26,                0.99492,                 1.0165,                 1.2852,                0.70455,                0.60877,                0.66254,                0.42523,                 1.2848,                 1.1713,                 1.5955,             0.00063125,             0.00063125,             0.00063125
                     27,                0.98167,                0.96057,                 1.2843,                0.78655,                0.55217,                0.66261,                0.43289,                  1.256,                 1.3266,                 1.5423,              0.0006065,              0.0006065,              0.0006065
                     28,                0.96288,                 0.9554,                 1.2604,                 0.6894,                0.59565,                0.62247,                0.42036,                 1.2058,                 1.3161,                 1.5077,             0.00058175,             0.00058175,             0.00058175
                     29,                0.93697,                0.88972,                 1.2255,                0.59583,                 0.4869,                 0.5827,                0.38926,                 1.2593,                 1.4815,                 1.5516,               0.000557,               0.000557,               0.000557
                     30,                0.94914,                0.92177,                 1.2474,                0.61602,                0.51337,                0.60262,                 0.4205,                 1.1573,                 1.3564,                 1.4614,             0.00053225,             0.00053225,             0.00053225
                     31,                0.94706,                0.91885,                  1.252,                0.85728,                0.60217,                0.68428,                0.49275,                 1.1674,                 1.1583,                 1.4522,              0.0005075,              0.0005075,              0.0005075
                     32,                0.90047,                0.88679,                 1.2197,                0.64316,                0.67892,                0.67012,                0.48978,                  1.101,                 1.1181,                 1.3995,             0.00048275,             0.00048275,             0.00048275
                     33,                0.93107,                0.91416,                 1.2523,                0.89163,                0.62717,                0.73421,                0.50585,                    1.1,                 1.0301,                 1.4028,               0.000458,               0.000458,               0.000458
                     34,                0.90839,                 0.8676,                 1.2177,                0.74656,                0.68385,                0.71093,                0.48971,                 1.1664,                 1.1476,                 1.4769,             0.00043325,             0.00043325,             0.00043325
                     35,                0.91373,                0.86445,                  1.214,                0.86565,                0.61141,                0.68291,                0.46379,                 1.1668,                 1.1788,                 1.4816,              0.0004085,              0.0004085,              0.0004085
                     36,                0.86368,                0.84404,                 1.1982,                0.68052,                0.70163,                0.70765,                0.47513,                 1.1115,                 1.1173,                 1.4229,             0.00038375,             0.00038375,             0.00038375
                     37,                0.86293,                0.83386,                 1.1885,                 0.7428,                0.64239,                0.69472,                0.47303,                 1.0843,                 1.1563,                 1.4178,               0.000359,               0.000359,               0.000359
                     38,                0.86457,                0.81741,                 1.1986,                0.82845,                0.56467,                0.70695,                0.47376,                  1.055,                 1.1212,                 1.3888,             0.00033425,             0.00033425,             0.00033425
                     39,                0.83254,                0.80155,                 1.1668,                0.84636,                0.60303,                0.71818,                0.50528,                 1.0658,                 1.0313,                 1.3825,              0.0003095,              0.0003095,              0.0003095
                     40,                0.78623,                0.81547,                 1.1531,                0.65974,                0.56793,                0.63052,                0.44614,                 1.1341,                 1.2631,                 1.4444,             0.00028475,             0.00028475,             0.00028475
                     41,                0.75433,                0.77607,                 1.1334,                0.67992,                0.60543,                0.62263,                0.46179,                 1.0645,                 1.1639,                  1.411,                0.00026,                0.00026,                0.00026
                     42,                 0.7414,                  0.734,                 1.1286,                0.78525,                0.58967,                0.68774,                0.48346,                 1.0813,                 1.1799,                 1.4349,             0.00023525,             0.00023525,             0.00023525
                     43,                0.77862,                0.75143,                 1.1682,                0.74975,                0.60217,                0.64589,                0.47699,                 1.0965,                 1.0819,                 1.4454,              0.0002105,              0.0002105,              0.0002105
                     44,                0.73408,                0.71389,                 1.1174,                0.73297,                0.64083,                0.66331,                0.48709,                 1.0306,                0.99275,                 1.3796,             0.00018575,             0.00018575,             0.00018575
                     45,                0.70705,                0.67313,                 1.1084,                0.73224,                0.64891,                 0.6665,                0.48721,                 1.0667,                 1.0154,                 1.4261,               0.000161,               0.000161,               0.000161
                     46,                0.69556,                0.68559,                 1.0973,                 0.7158,                0.62717,                0.66052,                0.49363,                 1.0467,                 1.0007,                 1.4168,             0.00013625,             0.00013625,             0.00013625
                     47,                 0.7012,                0.66755,                 1.1037,                0.68024,                0.62717,                0.65419,                0.48209,                 1.0565,                 1.0104,                 1.4223,              0.0001115,              0.0001115,              0.0001115
                     48,                0.68534,                 0.6556,                 1.0875,                0.70739,                0.62717,                0.63817,                0.48847,                 1.0637,                 1.0309,                 1.4241,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.67081,                0.65794,                 1.0773,                0.77013,                0.62391,                0.68103,                0.50008,                 1.0597,                 1.0164,                 1.4118,                6.2e-05,                6.2e-05,                6.2e-05
